merchant_id,date,product,weekly_total_price,weekly_total_discount_price,weekly_total_discounts,merchant_name,merchant_area,category,display,description,total_orders,total_revenue,average_discount,most_ordered_item,least_ordered_item
M006,2024-07-21,"Ati Ampela Ayam, Paha Bebek, Dada Bebek",78000.0,0.0,0,Ayam Trolok,jakarta,Aneka nasi/Ayam & bebek/Seafood,MENU TROLOK,,3,78000.0,0.0,Ati Ampela Ayam,Ati Ampela Ayam
M006,2024-07-28,"Kepala Ayam, Ceker Ayam, Ati Ampela Bebek, Ayam Full, Ayam Dada, Ayam Paha, Usus Ayam, Tahu, Peyek, Kulit Ayam, Nasi, Kepala Bebek, Pete, Tempe",236000.0,120000.0,3,Ayam Trolok,jakarta,Aneka nasi/Ayam & bebek/Seafood,MENU TROLOK,,14,116000.0,0.5084745762711864,Kepala Ayam,Kepala Ayam
M007,2024-07-21,"Baso Ikan bakar/goreng, Otak-otak Singapur Bakar/goreng, Tokoyaki  isi 5, Otak-otak Kriuk, kripik Kaca, lobster Bakar/goreng, bola Udang Bakar/Goreng, Bakso Salmon Bakar/Goreng, udang bakar/Goreng, Sempol Isi 5, Makaroni Pedas, Es Good Day Mocacino, Indomie goreng + Telur, Indomi Goreng Mix Ceker Mercon",202000.0,163800.0,13,BABAKARAN BUNDA DAFA,jakarta,Minuman/Jajanan/Martabak,babakaran,Tersedia Barberqu/Pedes,14,38200.0,0.810891089108911,Baso Ikan bakar/goreng,Baso Ikan bakar/goreng
M007,2024-07-28,"Sosis Kecil Bakar/ Goreng, Sosis Bakar/goreng Sedang Original, Skelep Bakar/Goreng, Maklor ( Makaroni Telur), Martabak Telur Loyang, Martabak Telur Terigu Loyang, Bakso Kriuk, Indomi Kuah + Telur, Indomie Goreng Mix Ceker+Bakso Mercon, Ceker Mix Bakso Mercon, Sosis Bakar/goreng Sedang Lada Hitam, Aqua, Super Bihun Kuah Telur + Bakso, Indomie Soto  Telur + Ceker Mercon, Cireng, Telur Gulung Original, Cilor Tusuk, Kaki Naga Isi 5, Naget Cham  Isi 5, Kentang Goreng, Cilor (Aci Telor), Lumpia Telor Bebek, Makaroni Spiral, es pop ice, Es Teh Manis, Ceker Mercon, Sosis Bakar/Goreng Jumbo, Cikuwa Bakar/goreng, Bakso Bakar/Goreng, Mielor (Mie Telur), Omlet (Mie + Telur), Martabak Telur Puyuh, Es Drink Beng-beng, Es Good Day Cappucino, Indomie Kuah + Bakso, Indomie Soto Telur + Bakso Sosis, Telor Gulung Isi, Lumpia Telor Ayam, Es Milo, Dancow Panas/Dingin, Otak-otak Mercon, Sosis Bakar/Goreng Sedang Keju, Dampling Cheese Bakar/goreng, CrabStik bakar, Otak-otak Bakar/goreng, Es Good Day Freeze, Bakso Mercon",751000.0,561600.0,39,BABAKARAN BUNDA DAFA,jakarta,Minuman/Jajanan/Martabak,babakaran,tersedia Rasa Barbeque/Pedas,47,189400.0,0.7478029294274301,Sosis Kecil Bakar/ Goreng,Sosis Kecil Bakar/ Goreng
M008,2024-07-21,"Peanut butter & jelly croissant, Spinach mushroom quiche, Chicken Mushroom Pie, Cinnamon Sugar Croffle, Salted Caramel Croffle, Hot Caffe Latte, Iced Mocha, Loose Leaf Tea (English Breakfast, Earl Grey, Blackcurrant & Hibiscus, Lemongrass & Ginger, Chamomile, Peppermint), Apple Tart, Egg Sandwich, Elderflower Grape, Walnut Caramel Cinnamon Roll, Single Serve Croffle with Ovomaltine, Beef Pie, Pain Au Praline, Biscoff Lotus Bomboloni, Strawberry Cheesecake Bomboloni, Nutella Croffle, Biscoff Lotus Croffle, Hot Magic, Add Soy Milk, Add Oat Milk, Iced Caffe Latte with Vanilla Ice Cream, Kopi Nusantara Granita, Matcha Latte, Avocado Affogato, Spaghetti (Cacio e Pepe), Cavatelli, BBQ Char Siu Short Rib, Chargrilled Jumbo King Prawn, Scramble Egg & Foie Gras, Varlhona Dark Chocolate Fondant, Crispy Skin Salmon, Half Roasted Chicken, French Dip Roast Beef Sandwich",3012200.0,0.0,0,"Bakerman, SCBD",jakarta,Roti/Minuman/Jajanan,Croissants,"Soft Scrambled Egg and Chives, American Cheese, Grilled Onion, Belibis Mayo",35,3012200.0,0.0,Peanut butter & jelly croissant,Peanut butter & jelly croissant
M008,2024-07-28,"Ovomaltine Raspberry Tart, Black Coffee 1 L, Choco lava croissant, Truffle Mushroom croissant, Garlic Cheese Bread, Pain Au Raisin, Add Almond Milk, Classic Affogato, Pure Apple Juice, Avocado with Kopi Nusantara Granita, House , Parmesan, Creamed Or Wilted Spinach, Balinese Fried Duck, New England Clam Chowder, Eeg Benedict, Steak and Frites, Nashville Fried Lobster & Chips, Bourbon Beef & Bone Marrow Pie, Black Angus Tenderloin 275gr, Cheeseburger, 275 Gr Tenderloin Beef With Truffle Sauce, Bacon & cheese croissant, Hot Espresso, Iced Mocha with Chocolate Ice Cream, Mango Tango Smoothies, Beef Brisket Ball, Oriental Roasted Duck Bao, Fried Calamari, Clam Linguine, Black Truffle Tagliarini, Crab Spaghetti, Charred Corn Ribs , Maple Chilli Sauce, Mushroom Soup, Burrata, Avocado Toast, Croissant Eeg Tart, Lobster Thermidor, Black Angus Striploin 300gr, Black Angus Ribeye 300gr, Berry Blast, Kopi Nusantara 1 L, Kopi Nusantara 500 mL, Caffe Latte 500 mL, Lemon Meringue Bomboloni, Salted Caramel Bomboloni, Assorted Croffle Box of 8 pcs, Peanut Butter & Jelly Croffle, Kaya Toast Croffle, Fresh Brewed Ice Tea, Avocado Float, Triple Berry Smoothies, Nashville Hot Chiken Wings, Cajun Rub Hot Smoked Salmon, Garlic Cheese, Brie Caramel, Pistachio Fragipane, Peach Tart, Lemon Tart, Milk Chocolate  Hazelnut Fondant, Baker's Burger, Jasmine Citrus Mojito, Lemongrass & Guava Sparkler, Coffee Crumb Cinnamon Roll, Lotus Biscoff Cinnamon Roll, Cinnamon Rolls Ovomaltine, Caffe Latte 1 L, Nutella Pain au Chocolat, Triple Cheese Croissant, Vanilla Bomboloni, Plain Croffle, Hot Cappucino / Flat White, Hot Mocha, Iced Americano, Iced Caffe Latte, Banana & Co Smoothies, Spagethetti Carbonara, Lasagna Verde, Nasi Goreng Gila, Buttermilk Fried Chicken Croffle, Verlhona Flourless Cake Tart, Dark Chocolate Fondant, Peanut Nougat Cinnamon Roll, Black Coffee 500 mL, Almond Croissant, Chocolate Brownies Bomboloni, Peanut Butter & Jelly Bomboloni, Maple Croffle, Iced Matha Espresso Latte, Orange + Apple Juice, Loose Leaf Tea (Jasmine, French Vanilla, Rosebud), Truffle Mashed Potato, Steamed Sea Bass, Bakers Caesar, Bakers Breakfast, Crab Omelette, Valrhona Chocolate Tart, Reuben Sandwich, Chamomile Strawberry Spritzer, Chicken Croffle Truffle, Butter croissant, Salted egg yolk croissant, Bacon & cheese quiche, Nutella Bomboloni, Hot Long Black / Americano, Hot Macchiato / Piccolo, Es Kopi Nusantara, Lychee / Peach / Strawberry Iced Tea, Lemon Iced Tea, Signature Chocolate, Pure Orange Juice, House Fries, Tagliatelle Oxtail Ragu, Add Lobster Tail (For Mac And Cheese), Mac And Cheese, Osso Buco Agnolotti, Asparagus , Hollandaise, Chargrilled Cabe Ijo Short Ribs, Black Truffle Wagyu Beef Bowl, Baked Eggs, Pear Tart, Caramel Pecan, Lobster Roll, Choco Nutella Cinnamon Roll",14079675.0,0.0,0,"Bakerman, SCBD",jakarta,Roti/Minuman/Jajanan,Bakerman x Ovomaltine,"Chopped Bacon, Crouton",123,14079675.0,0.0,Ovomaltine Raspberry Tart,Ovomaltine Raspberry Tart
M009,2024-07-21,"Bakmi Istimewa (3 Toppings), Bakmi Ayam Kampung Super Topping, Bakso Sapi 1/2 Porsi (5 Pcs), Bebek Peking 1/2 Ekor, Air Mineral 600 Ml",323000.0,0.0,0,Bakmi Kun,jakarta,Ayam & bebek/Bakmie/Cepat saji,Bakmi,"Bakmi Dengan Topping Bebek Peking, Ayam Kampung, Ayam Cincang (Tanpa Pangsit)",5,323000.0,0.0,Bakmi Istimewa (3 Toppings),Bakmi Istimewa (3 Toppings)
M009,2024-07-28,"Bakmi Campur (Ayam Kampung + Ayam Cincang), Bakmi Ayam Kampung, Bakso Sapi (2 Pcs), Pangsit Rebus 1 Porsi (10 Pcs), Ayam Kampung 1/2 Ekor, Bakmi Special (Bebek Peking + Ayam Kampung), Bakmi Bebek Peking, Bakmi Bebek Peking Super Topping, Teh Pucuk, Ayam Kampung 1 Ekor, Pangsit Rebus 1/2 Porsi (5 Pcs), Bebek Peking 1 Ekor, Bebek Peking 1/4 Ekor, Ayam Kampung 1/4 Ekor, Bakmi Ayam Cincang, Bakso Sapi 1 Porsi (10 Pcs), Bakso Goreng, Pangsit Rebus (2 Pcs)",1160000.0,0.0,0,Bakmi Kun,jakarta,Ayam & bebek/Bakmie/Cepat saji,Bakmi,"Bakmi Dengan Topping Ayam Kampung, Ayam Cincang (Tanpa Pangsit)",18,1160000.0,0.0,Bakmi Campur (Ayam Kampung + Ayam Cincang),Bakmi Campur (Ayam Kampung + Ayam Cincang)
M010,2024-07-21,"Bakmi Rebus Kalimantan, Bakmi Kuah Kalimantan, Kwetiaw Rebus Kalimantan, Kwetiaw Siram Kalimantan, Nasi Goreng Kalimantan, Nasi Muntahu Lopui, Locupan Jam, Bakmi Goreng Kari, Bakmi Siram Kalimantan, Nasi Siram Kalimantan, Pangsit Kuah Isi 5, Pangsit Tek - Tek Isi 5",313000.0,250400.0,12,Bakmi Lopui 93,jakarta,Bakmie/Chinese/Minuman,Makanan ( No Pork No Lard ),,12,62600.0,0.8,Bakmi Rebus Kalimantan,Bakmi Rebus Kalimantan
M010,2024-07-28,"Locupan Tek-Tek, Pangsit Tek - Tek Isi 10, Kwetiaw Goreng Kalimantan, Bihun Goreng Kalimantan, Nasi Goreng Kusut, Pangsit Kuah Isi 10, Susu Kacang 500ML, Bihun Rebus Kalimantan, Bakmi Goreng Kalimantan, Kwetiaw Goreng Kari, Nasi Goreng Singapore, Nasi Goreng Kari, Nasi Telor Kalimantan",351000.0,280800.0,13,Bakmi Lopui 93,jakarta,Bakmie/Chinese/Minuman,Makanan ( No Pork No Lard ),Nasi Di Campur Kwetiaw Goreng,13,70200.0,0.8,Locupan Tek-Tek,Locupan Tek-Tek
M011,2024-07-21,"Bakso Urat Besar, Bakso Telur, Es Teh Tawar, Lemon Tea, Juas Buah Naga, Coca Cola, Mie Ayam Bakso, Mie Ayam Bakso Pangsit, Mie Ayam Pangsit + Urat Besar, Mie Ayam Bakso Telur, Jus Sirsak, Fresh Tea",271500.0,0.0,0,"Bakso Titoti, Parung",jakarta,Bakso & soto/Minuman,Makanan,,12,271500.0,0.0,Bakso Urat Besar,Bakso Urat Besar
M011,2024-07-28,"Bakso Spesial, Jus Strawberry, Bakso Setengah Porsi, Mie Ayam, Krupuk, Es Jeruk, Fanta, Jus Mangga, Prima Gelas, Pulpy Orange, Ayam Kampung Goreng Kremes + Nasi, Bakso Soun/Bihun/Mie Kuning, Mie Ayam Bakso Urat Besar, Mie Ayam Pangsit, Sop Daging Sapi, Siomay Goreng, Kelapa Bulat ala Thailand, Es Alpukat, Es Kelapa Jeruk, Jus Tomat, Fruite Tea, Mie Ayam Bakso Pangsit + Urat Besar, Siomay, Soda Susu, Es Campur, Es Teh Manis, Teh Manis Panas, Jus Alpukat, Jus Jambu, Teh Botol, Ayam Kampung Goreng Kremes, Bakso Mie Campur, Nasi Putih, Es Kelapa, Teh Tawar, Jeruk Panas, Jus Melon, Air Mineral, Sprite, Bakso Kuah, Mie Ayam Pangsit + Bakso Telur, Es Alpukat Kelapa",817000.0,0.0,0,"Bakso Titoti, Parung",jakarta,Bakso & soto/Minuman,Makanan,,42,817000.0,0.0,Bakso Spesial,Bakso Spesial
M012,2024-07-21,"Happiness Bento Set 1, Es Matcha Mindfulness, Hemat Set, Chicken Katsu Set, Almond Brownie, Coconut Pandan, Red Velvet, Blueberry Cheesecake, Extra Mayonnaise Sachet.., Es Teh Joyful, Cheesy Hamburg Curry Rice, Cheesy Chicken Cutlet Curry, Raspberry Cheesecake, Es Kopi Cheer Me Up",555220.0,157390.0,3,"Banzai!, Bogor Utara",jakarta,Cepat saji/Aneka nasi/Jepang,Send your Love,Double Hamburg Curry Rice + Berry Lychee Yakult,14,397830.0,0.28347321782356544,Happiness Bento Set 1,Happiness Bento Set 1
M012,2024-07-28,"Oishii Set 1, Chicken Karaage Nanban Bento, Chicken Karaage Mentai Bento, Chicken Karaage Curry Bento, Chicken Teriyaki Bento, Original Cheesecake, 1Ltr Es Kopi Cheer Me Up, Oishii Set 2, Beef Hamburg Curry Rice, Choco Lava Cake, Chicken Katsu Mentai Bento, Extra Cheesy Chicken Cutlet Curry, Fish Katsu Nanban Bento, Ekkado Set, Extra Sambal Sachet, Mineral Water 330 Ml, Es Cendol Ceria, Double Hamburg Curry Rice, Cinnamon Roll, Tiramisu Cheesecake, Beef Teriyaki Bento, Extra Cheesy Beef Cutlet Curry, Chicken Popcorn Bento 1, Happiness Bento Set 2, Chicken Katsu Curry Bento, Chicken Popcorn Bento 2, Fish Katsu Mentai Bento, Es Mango Yakult Jelly, Es Lychee Yakult Jelly, Coffee Brownie, Es Cokelat Cozy, Es Sukur - Susu Kurma, Cheesy Beef Cutlet Curry, Dark Chocolate, Chicken Katsu Nanban Bento, Fish Katsu Curry Bento, Cheesy Chicken Set, Coca-Cola",1947050.0,733576.0,13,"Banzai!, Bogor Utara",jakarta,Cepat saji/Aneka nasi/Jepang,Oishii Set,"Cheesy Beef Cutlet Curry, Chicken Karaage Nanban Bento, 2 Coca Cola",38,1213474.0,0.37676279499756044,Oishii Set 1,Oishii Set 1
M013,2024-07-21,"Bakso Bakar, Otak - Otak Bakar, Fishroll Bakar, Scallope Bakar",12400.0,0.0,0,"Sosis Bakar By Basis.Kuy, Intercon",jakarta,Jajanan/Seafood,Mengbakar,Bakso Yang Di Bakar Dengan Cinta Yang Membuat Lidah Bergoyang,4,12400.0,0.0,Bakso Bakar,Bakso Bakar
M013,2024-07-28,"Tofu Seafood Bakar, Sosis Bakar Jumbo, Chikuwa Bakar, Mie Oyeng, Sosis + Kyentang Oyeng, Kyentang Oyeng, Otak-otak Oyeng, Bakso Salmon Bakar, Sotang (Sosis Kentang) Oyeng, Crabstick Bakar, Dumpling Bakar, Ikan Kue Pedas Bakar, Rolade Bakar, Sosis Bakar",86300.0,0.0,0,"Sosis Bakar By Basis.Kuy, Intercon",jakarta,Jajanan/Seafood,Mengbakar,Udah Lah Rasa Mah Gaada Duanya Kalo Kamu Satu Satunya Anjaayy!!!,14,86300.0,0.0,Tofu Seafood Bakar,Tofu Seafood Bakar
M014,2024-07-21,"Ayam Kampung Goreng, Cumi Goreng Tepung, Sambal Teri, Es Kosong, Nila Belur (Cabe Ijo), Tumis Jamur Tiram, Es Timun, Es Mangga Boedjang, Bebek Belur Cabe Ijo, Ayam Kota Belur Cabe Ijo, Ayam Kota Bakar Rica, Ayam Kampung Belur Cabe Ijo, Ayam Kampung Bakar Rica, Udang Goreng Tepung, Nila Belur (Cabe Ijo), Cah Kangkung Polos, Cah Kangkung Seafood, Telur Dadar, Tahu Goreng (5potong), Telur Bakar, Nasi A, Es Jeruk, Es Lidah Buaya, Es Teh Manis, Ayam Kampung Bakar Kacang, Ayam Kampung Bakar Rica, Sosis Bakar (2potong), Sambal Ijo, Sambal Teri, Es Jeruk",536955.0,0.0,0,"Bebek Boedjang, BSD",jakarta,Seafood/Aneka nasi/Ayam & bebek,Ayam Kampung,Ayam Kampung Ungkep Yang Di Goreng,30,536955.0,0.0,Sambal Teri,Ayam Kampung Goreng
M014,2024-07-28,"Ayam Kota Bakar Kacang, Cumi Tumis Cabe Ijo, Tumis Jamur Tiram, Es Jeruk Nipis, Mineral Botol, Es Teh Tawar, Bebek Goreng, Bebek Bakar Bumbu Rica, Ayam Kota Goreng, Nila Bakar Kacang, Cah Kangkung Polos, Es Milo, Jus Alpukat, Teh Botol, Bebek Bakar Bumbu Rica, Telur Penyet, Nasi B, Sambal Ijo, Sambal Mangga, Sambal Terasi, Bebek Belur Cabe Ijo, Ayam Kota Belur Cabe Ijo, Nasi B, Es Teh Tawar, Es Kosong, Bebek Goreng, Bebek Bakar Kacang, Ayam Kota Goreng, Ayam Kampung Bakar Kacang, Jeruk Murni, Es Milo, Es Mangga Boedjang, Cumi Tumis Cabe Ijo, Udang Tumis Cabe Ijo, Plencing Kangkung, Telur Dadar, Tempe Goreng (5potong), Telur Bakar, Nasi Putih, Sambal Korek, Es Jeruk Nipis, Cumi Asin Tumis Cabe Ijo, Nila Goreng., Sayur Asem, Plencing Kangkung, Sosis Goreng (2potong), Nasi Putih, Sambal Korek, Es Timun, Ayam Kampung Belur Cabe Ijo, Udang Goreng Tepung, Cumi Asin Tumis Cabe Ijo, Nila Goreng., Nila Bakar Rica, Sayur Asem, Terong Goreng Tepung, Telur Penyet, Sambal Terong, Es Lidah Buaya, Jus Mangga, Udang Tumis Cabe Ijo, Nila Bakar Kacang, Terong Goreng Tepung, Sambal Terong, Bebek Bakar Kacang, Ayam Kota Bakar Rica, Nasi A, Jeruk Murni, Es Lemon Tea, Es Teh Manis, Es Alpukat Susu, Nila Bakar Rica, Cah Kangkung Teri, Tempe Goreng (5potong), Sosis Bakar (2potong), Es Lemon Tea, Es Alpukat Susu, Jus Alpukat, Teh Botol, Jus Mangga, Ayam Kota Bakar Kacang, Ayam Kampung Goreng, Cumi Goreng Tepung, Cah Kangkung Teri, Cah Kangkung Seafood, Sosis Goreng (2potong), Tahu Goreng (5potong), Sambal Mangga, Sambal Terasi, Mineral Botol",1493963.0,0.0,0,"Bebek Boedjang, BSD",jakarta,Seafood/Aneka nasi/Ayam & bebek,Ayam Kota,Potongan ayam yang Dibakar Dengan Bumbu Kacang,90,1493963.0,0.0,Ayam Kota Bakar Kacang,Ayam Kota Bakar Rica
M015,2024-07-21,"Kimchi Stir Friced Rice, Milkis Melon, Roze Topokki, Coke",353760.0,0.0,0,"Boonsikdang, Hublife Jakarta",jakarta,Korea/Minuman/Jajanan,MEAL,Nasi Goreng Dengan Kimchi,4,353760.0,0.0,Kimchi Stir Friced Rice,Kimchi Stir Friced Rice
M015,2024-07-28,"Kimmari Topokki, Rapokki, Milkis Strawberry, MozzarellaTopokki, Sharing Package, Milkis Banana, Odeng, Bulgogi Rice, Bulgogi Japchae, Milkis Milk, Original Topokki, Kimchi Kimbab, Roze Package, Jeyuk Bokkeum, Chilsung Cider, Ganjeong Topokki, Original Package, Mozzarella Package, A Bowl Of Rice, Mineral Water, Sprite",2193840.0,0.0,0,"Boonsikdang, Hublife Jakarta",jakarta,Korea/Minuman/Jajanan,SNACK,Kimmari Goreng Dan Topokki Merupakan Perpaduan Makanan Korea Yang Fantastis,21,2193840.0,0.0,Kimmari Topokki,Kimmari Topokki
M016,2024-07-21,"Cokelat Keju, Lilin Magic, Mocca Uk.11, Klepon 17, Bika Ambon, Strawberry Mountain, Bluebarry Mountain, Mocca, Roti Coklat, Roti Pisang, Sobek Cokelat Combine, Bolu Susu Red Velvet, Cake Pisang, Pisang Bolen Cokelat, Cheese Stik, Kelapa Gula Malaka, Sosis Cheese, Roti Pizza, Coklat Roll, Roti Mickey, Melxic Coklat",590900.0,0.0,0,"Bunga Bakery, Cibinong",jakarta,Roti,Lapis,Cokelat Dan Keju,21,590900.0,0.0,Cokelat Keju,Cokelat Keju
